Sample Time,Signal Value
9.57,0.399818511
9.58,0.721188656
9.59,-0.071176824
9.6,-1.05168601
9.61,-1.110283339
9.62,-0.200068478
9.63,0.642877162
9.64,0.48654393
9.65,-0.463285797
9.66,-1.122705499
9.67,-0.755026978
9.68,0.218641896
9.69,0.707982031
9.7,0.176038868
9.71,-0.766526586
9.72,-1.049021057
9.73,-0.342902924
9.74,0.562428669
9.75,0.641901367
9.76,-0.200021946
9.77,-1.000535694
9.78,-0.823495544
9.79,0.15343441
9.8,0.812595623
9.81,0.377942454
9.82,-0.65788751
9.83,-1.074187293
9.84,-0.351095963
9.85,0.684225071
9.86,0.8050633
9.87,-0.149547473
9.88,-1.045717282
9.89,-0.789734672
9.9,0.340659156
9.91,0.99636204
9.92,0.376847444
9.93,-0.776384562
9.94,-1.053854321
9.95,-0.095226191
9.96,0.947332958
9.97,0.801895578
9.98,-0.356712151
9.99,-1.102753648
10,-0.506161278
10.01,0.712070235
10.02,1.057880382
10.03,0.109342183
10.04,-0.954255188
10.05,-0.808560972
10.06,0.372370837
10.07,1.130014043
10.08,0.533652121
10.09,-0.66275633
10.1,-0.962011195
10.11,0.010214989
10.12,1.043525854
10.13,0.858954154
10.14,-0.295699653
10.15,-0.964643582
10.16,-0.310099546
10.17,0.845571094
10.18,1.061110127
10.19,0.084659584
10.2,-0.841119496
10.21,-0.549295386
10.22,0.588653947
10.23,1.143056323
